src,reference,baseline_pred,idiom_only_pred,two_stage_frozen_pred
"He is always late for appointments and keeps people waiting, so we decided to give him a taste of his own medicine.","Da er immer zu spät zu Terminen kommt und die Leute warten lässt, haben wir beschlossen, es ihm mit gleicher Münze heimzuzahlen.","Er ist immer zu spät für Termine und hält die Leute warten, so dass wir beschlossen, ihm einen Geschmack seiner eigenen Medizin zu geben.","Er kommt immer zu spät zu Terminen und lässt die Leute warten, so dass wir beschlossen, ihm einen Vorgeschmack auf seine eigene Medizin zu geben.","Er kommt immer zu spät zu Terminen und lässt die Leute warten, so dass wir beschlossen, ihm einen Vorgeschmack auf seine eigene Medizin zu geben."
"At the weekly cabinet meeting the following day, an enraged Mr. Schroder read his ministers the riot act.",Auf der wöchentlichen Kabinettssitzung am folgenden Tag verlas ein wütender Schröder seinen Ministern die Leviten.,Bei der wöchentlichen Kabinettssitzung am folgenden Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,Bei der wöchentlichen Kabinettssitzung am nächsten Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.,Bei der wöchentlichen Kabinettssitzung am folgenden Tag las ein wütender Herr Schroder seinen Ministern den Aufstand vor.
"""The problem that we've got is we're trying like the dickens to treat the symptom without treating the disease, Mr. North said on """"Fox News Sunday.""""""","„Wir haben das Problem, dass wir auf Teufel komm raus versuchen, das Symptom zu behandeln, ohne die Krankheit zu behandeln“, sagte North bei „Fox News Sunday“.","""Das Problem, das wir haben, ist, dass wir versuchen, wie die Schwänze das Symptom zu behandeln, ohne die Krankheit zu behandeln, sagte Mr. North auf ""Fox News Sunday.""""","""Das Problem, das wir haben, ist, dass wir versuchen, das Symptom zu behandeln, ohne die Krankheit zu behandeln, sagte Herr North am """"Fox News Sunday"""".""","""Das Problem, das wir haben, ist, dass wir versuchen, das Symptom zu behandeln, ohne die Krankheit zu behandeln, sagte Mr. North auf """"Fox News Sunday."""""
Those cheap little metal cars are a dime a dozen.,Diese billigen kleinen Metallautos gibt es wie Sand am Meer.,Diese billigen kleinen Metallautos sind ein Dutzend Cent.,Diese billigen kleinen Metallautos sind ein Zehntel.,Diese billigen kleinen Metallautos sind ein Zehntel.
"With their last, triumphant piece, the musicians raised the roof.","Mit ihrem letzten, triumphalen Stück brachten die Musiker den Saal zum Beben.","Mit ihrem letzten, triumphierenden Stück hoben die Musiker das Dach.","Mit ihrem letzten, triumphierenden Stück hoben die Musiker das Dach.","Mit ihrem letzten, triumphierenden Stück hoben die Musiker das Dach."
He put the cat among the pigeons when he refused to sign the contract.,"Er stiftete Unruhe, als er sich weigerte, den Vertrag zu unterschreiben.","Er stellte die Katze unter die Tauben, als er sich weigerte, den Vertrag zu unterzeichnen.","Er stellte die Katze unter die Tauben, als er sich weigerte, den Vertrag zu unterzeichnen.","Er stellte die Katze unter die Tauben, als er sich weigerte, den Vertrag zu unterzeichnen."
"But before she could launch her charm offensive, Mr. Roper sat down across from her and grabbed her wrists.","Doch bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte ihre Handgelenke.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Mr. Roper ihr gegenüber und packte ihre Handgelenke.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte sich die Arme.","Aber bevor sie ihre Charmeoffensive starten konnte, setzte sich Herr Roper ihr gegenüber und packte ihr die Handgelenke."
"My son can be a bit of a bull in a china shop, so I'm worried about taking him to the museum.","Mein Sohn kann ein bisschen wie ein Elefant im Porzellanladen sein, deshalb mache ich mir Sorgen, wenn ich mit ihm ins Museum gehe.","Mein Sohn kann ein bisschen ein Bulle in einem Porzellanladen sein, also mache ich mir Sorgen, ihn ins Museum zu bringen.","Mein Sohn kann ein bisschen ein Bulle in einem Porzellanladen sein, also mache ich mir Sorgen, ihn ins Museum zu bringen.","Mein Sohn kann ein bisschen ein Bulle in einem Porzellanladen sein, also mache ich mir Sorgen, ihn ins Museum zu bringen."
"Well, you know, you can't change the spots on a leopard.","Sie wissen ja, die Katze lässt das Mausen nicht","Nun, du weißt schon, du kannst die Flecken auf einem Leoparden nicht ändern.","Nun, weißt du, du kannst die Flecken auf einem Leoparden nicht ändern.","Nun, weißt du, du kannst die Flecken auf einem Leoparden nicht ändern."
"On a scale of five, they gave an average rating of four to their feelings about CSIS",Auf einer Fünferskala bewerteten sie ihre Meinung gegenüber dem CSIS im Durchschnitt mit vier.,Auf einer Skala von fünf gaben sie ihren Gefühlen über CSIS eine durchschnittliche Bewertung von vier,Auf einer Skala von fünf gaben sie ihren Gefühlen über CSIS eine durchschnittliche Bewertung von vier,Auf einer Skala von fünf gaben sie ihren Gefühlen über CSIS eine durchschnittliche Bewertung von vier
"All right, tell my public that Carl Denam, the bright boy... who was going to make a million dollars out of King Kong, is flat broke.","Also gut, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge... der mit King Kong eine Million Dollar verdienen wollte, völlig pleite ist.","In Ordnung, sag meiner Öffentlichkeit, dass Carl Denam, der kluge Junge, der eine Million Dollar aus King Kong verdienen wollte, flach pleite ist.","In Ordnung, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge, der aus King Kong eine Million Dollar verdienen wollte, pleite ist.","In Ordnung, sagen Sie meinem Publikum, dass Carl Denam, der kluge Junge, der eine Million Dollar aus King Kong verdienen würde, pleite ist."
Being put on the spot makes me nervous.,"Wenn ich in Verlegenheit gebracht werde, macht mich das nervös.","Mich auf den Punkt zu bringen, macht mich nervös.",Mich auf den Punkt zu bringen macht mich nervös.,Mich auf den Punkt zu bringen macht mich nervös.
Dear Diary: Tomorrow I buckle down and hit the books.,Liebes Tagebuch: Morgen mache ich mich an die Arbeit und büffele.,Lieber Tagebuch: Morgen schnalle ich mich an und schlage die Bücher.,Lieber Tagebuch: Morgen schnalle ich mich zusammen und haue in die Bücher.,Lieber Tagebuch: Morgen schnalle ich mich zusammen und haue in die Bücher.
It's always been every man for himself in this industry. You can't rely on anyone else to help you get ahead.,"In dieser Branche war schon immer jeder auf sich allein gestellt. Man kann sich auf niemanden verlassen, der einem hilft, weiterzukommen.","Es war immer jeder Mann für sich in dieser Branche. Sie können sich nicht auf jemand anderes verlassen, um Ihnen zu helfen, voranzukommen.","Es war immer jeder für sich in dieser Branche. Sie können sich nicht darauf verlassen, dass jemand anderes Ihnen hilft, voranzukommen.","Es war immer jeder für sich selbst in dieser Branche. Man kann sich nicht darauf verlassen, dass jemand anderes Ihnen weiterhelfen kann."
And - to make a long story short - I never got back the money that I lent him.,"Und - um es auf den Punkt zu bringen - ich habe das Geld, das ich ihm geliehen habe, nie zurückbekommen.","Und - um eine lange Geschichte kurz zu machen - ich habe nie das Geld zurückbekommen, das ich ihm geliehen habe.","Und - um eine lange Geschichte zu kurz zu stellen - ich habe nie das Geld zurückbekommen, das ich ihm geliehen habe.","Und - um eine lange Geschichte kurz zu fassen - ich habe nie das Geld zurückbekommen, das ich ihm geliehen habe."
Burning the candle at both ends is a recipe for disaster.,"Raubbau mit der Gesundheit zu treiben, ist ein Rezept für eine Katastrophe.",Das Verbrennen der Kerze an beiden Enden ist ein Rezept für ein Desaster.,Das Verbrennen der Kerze an beiden Enden ist ein Rezept für ein Desaster.,Die Kerze an beiden Enden zu verbrennen ist ein Rezept für ein Desaster.
He will hold his tongue if you tell him to not to say anything.,"Er wird den Mund halten, wenn Sie ihm sagen, dass er nichts sagen soll.","Er wird seine Zunge halten, wenn du ihm sagst, er soll nichts sagen.","Er wird seine Zunge halten, wenn Sie ihm sagen, er solle nichts sagen.","Er wird seine Zunge halten, wenn du ihm sagst, er solle nichts sagen."
"A man whom I might not agree with where politics are concerned, but one who calls a spade a spade.","Ein Mann, mit dem ich zwar politisch nicht einverstanden bin, der aber die Dinge beim Namen nennt.","Ein Mann, mit dem ich vielleicht nicht einverstanden bin, wenn es um Politik geht, aber einer, der einen Spaten einen Spaten nennt.","Ein Mann, mit dem ich vielleicht nicht einverstanden bin, wenn es um Politik geht, aber einer, der einen Spatenstich nennt.","Ein Mann, mit dem ich vielleicht nicht einverstanden bin, wenn es um Politik geht, aber einer, der einen Spatenstich nennt."
I am nothing but a bundle of nerves dressed up to look like a man.,"Ich bin nichts weiter als ein Nervenbündel, das sich verkleidet hat, um wie ein Mann auszusehen.","Ich bin nur ein Nervenbündel, verkleidet, um wie ein Mann auszusehen.","Ich bin nur ein Nervenbündel, verkleidet, um wie ein Mann auszusehen.","Ich bin nur ein Nervenbündel, das wie ein Mann aussieht."
"If he or she is overly tired or under the weather, take a day or two off.","Wenn er oder sie übermäßig müde ist oder nicht ganz auf der Höhe ist, nehmen Sie sich ein oder zwei Tage frei.","Wenn er oder sie zu müde oder unter dem Wetter ist, nehmen Sie ein oder zwei Tage frei.","Wenn er oder sie zu müde oder unter dem Wetter ist, nehmen Sie sich ein oder zwei Tage frei.","Wenn er oder sie zu müde oder unter dem Wetter ist, nehmen Sie sich ein oder zwei Tage frei."
"Despite several bilateral and multilateral meetings, the four have not yet come up with the lowest common denominator likely to get the ball rolling","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht auf den kleinsten gemeinsamen Nenner geeinigt, der den Stein ins Rollen bringen könnte","Trotz mehrerer bilateraler und multilateraler Treffen haben die vier noch nicht den kleinsten gemeinsamen Nenner gefunden, der den Ball rollen lässt.","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht den kleinsten gemeinsamen Nenner ausgedacht, der den Ball ins Rollen bringen könnte","Trotz mehrerer bilateraler und multilateraler Treffen haben sich die vier noch nicht den kleinsten gemeinsamen Nenner ausgedacht, der den Ball ins Rollen bringen könnte."
"He was two days late last time, so she's not hiring him again-once bitten, twice shy.","Beim letzten Mal kam er zwei Tage zu spät, also stellt sie ihn nicht wieder ein - ein gebranntes Kind scheut das Feuer.","Er war das letzte Mal zwei Tage zu spät, also stellt sie ihn nicht wieder ein, einmal gebissen, zweimal schüchtern.","Er kam das letzte Mal zwei Tage zu spät, also stellt sie ihn nicht wieder ein - einmal gebissen, zweimal schüchtern.","Er kam zum letzten Mal zwei Tage zu spät, also stellt sie ihn nicht wieder ein - einmal gebissen, zweimal schüchtern."
"It would certainly be fun in an active family, with whom he would go through thick and thin.","Es wäre sicher lustig in einer aktiven Familie, mit der er durch dick und dünn gehen würde.","Es wäre sicherlich Spaß in einer aktiven Familie, mit der er durch dick und dünn gehen würde.","Es wäre sicherlich lustig in einer aktiven Familie, mit der er dick und dünn durchmachen würde.","Es wäre sicherlich lustig in einer aktiven Familie, mit der er dick und dünn durchmachen würde."
The union is bringing pressure to bear on management.,Die Gewerkschaft übt Druck auf die Unternehmensleitung aus.,Die Gewerkschaft übt Druck auf das Management aus.,Die Gewerkschaft übt Druck auf das Management aus.,Die Gewerkschaft übt Druck auf das Management aus.
My children have ants in their pants because tomorrow is Christmas and they are excited about their presents.,"Meine Kinder haben Hummeln im Hintern, denn morgen ist Weihnachten, und sie freuen sich auf ihre Geschenke.","Meine Kinder haben Ameisen in der Hose, denn morgen ist Weihnachten und sie freuen sich über ihre Geschenke.","Meine Kinder haben Ameisen im Hintern, denn morgen ist Weihnachten und sie sind begeistert von ihren Geschenken.","Meine Kinder haben Ameisen im Hintern, denn morgen ist Weihnachten und sie sind begeistert von ihren Geschenken."
"It was a great disaster, the family survived by a hair's breadth.","Es war eine große Katastrophe, die Familie überlebte um ein Haar.","Es war eine große Katastrophe, die Familie überlebte durch eine Haarbreite.","Es war eine große Katastrophe, die Familie überlebte mit einem Haar in der Breite.","Es war eine große Katastrophe, die Familie überlebte mit einem Haarbreite."
I am queering the pitch by asking too many questions.,"Ich mache Ihnen eine Strich durch die Rechnung, weil ich zu viele Fragen stelle.","Ich queere den Pitch, indem ich zu viele Fragen stelle.","Ich queere den Ton an, indem ich zu viele Fragen stelle.","Ich queere den Ton, indem ich zu viele Fragen stelle."
He sat for a moment chewing the cud before he spoke.,"Er saß einen Moment da und ließ sich das durch den Kopf gehen, bevor er sprach.","Er saß für einen Moment und kaute das Küken, bevor er sprach.","Er saß einen Moment lang beim Kauen, bevor er sprach.","Bevor er sprach, saß er einen Moment lang beim Kauen."
"Bend the knee, peasant! Admit that I am your rightful king!","Beuge das Knie, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!","Gib zu, dass ich dein rechtmäßiger König bin!","Kniebeugen, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!","Kniebeugen, Bauer! Gib zu, dass ich dein rechtmäßiger König bin!"
"Anyway, we should hit the road.","Wie auch immer, wir sollten uns auf den Weg machen.","Wie auch immer, wir sollten auf die Straße gehen.","Wie auch immer, wir sollten auf den Weg gehen.","Wie auch immer, wir sollten uns auf den Weg machen."
"I don't want to put the cart before the horse, but I think we should start working on it.","Ich möchte das Pferd nicht von hinten aufzäumen, aber ich denke, wir sollten mit der Arbeit daran beginnen.","Ich will den Wagen nicht vor das Pferd stellen, aber ich denke, wir sollten anfangen, daran zu arbeiten.","Ich möchte den Wagen nicht vor das Pferd legen, aber ich denke, wir sollten anfangen, daran zu arbeiten.","Ich möchte den Wagen nicht vor das Pferd legen, aber ich denke, wir sollten anfangen, daran zu arbeiten."
He broke the promise to his mother. He will have broken her heart by the end of the day.,Er hat das Versprechen gegenüber seiner Mutter gebrochen. Am Ende des Tages wird er ihr das Herz gebrochen haben.,"Er hat das Versprechen an seine Mutter gebrochen, und bis zum Ende des Tages wird er ihr das Herz gebrochen haben.",Er hat das Versprechen gegenüber seiner Mutter gebrochen. Er wird ihr bis zum Ende des Tages das Herz gebrochen haben.,Er brach das Versprechen an seine Mutter. Er wird ihr bis zum Ende des Tages das Herz gebrochen haben.
"""Your money or your life! I'm sorry, my dear, but you know it would kill me to lose my money,"""" said the partially deaf miser to his wife.""""""","""Geld oder Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"""", sagte der halb taube Geizhals zu seiner Frau.""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, es würde mich töten, mein Geld zu verlieren,"""" sagte der teilweise taube Geizhals zu seiner Frau.""""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"", sagte der zum Teil taube Geizknabe zu seiner Frau.""""","""Dein Geld oder dein Leben! Es tut mir leid, meine Liebe, aber du weißt, dass es mich umbringen würde, mein Geld zu verlieren"", sagte der zum Teil taube Geizige zu seiner Frau."""
I'm as fit as a fiddle-with energy to spare.,Ich bin fit wie ein Turnschuh - und habe noch viel Energie.,Ich bin so fit wie eine Geige mit Energie zu sparen.,Ich bin fit wie eine Schwindlerin mit Energie zu sparen.,Ich bin fit wie eine Geige mit Energie zu sparen.
I had been sick and tired of his laziness.,Ich hatte die Nase voll von seiner Faulheit.,Ich war krank und müde von seiner Faulheit.,Ich hatte seine Faulheit satt und satt.,Ich hatte seine Faulheit satt.
"If they aren't generating significant value over a Web alternative, competitors will eat your lunch","Wenn sie keinen signifikanten Mehrwert gegenüber einer Web-Alternative bieten, werden die Konkurrenten dich fertigmachen.","Wenn sie nicht einen signifikanten Wert über eine Web-Alternative generieren, werden Konkurrenten Ihr Mittagessen essen","Wenn sie keinen signifikanten Wert über eine Webalternative generieren, werden die Konkurrenten Ihr Mittagessen essen","Wenn sie keinen signifikanten Wert über eine Web-Alternative generieren, werden die Konkurrenten Ihr Mittagessen essen"
Redundancy indicates that the system is fault-tolerant to a certain degree.,"Redundanz bedeutet, dass das System bis zu einem gewissen Grad tolerant für Fehler ist.","Redundanz deutet darauf hin, dass das System bis zu einem gewissen Grad fehlertolerant ist.","Redundanz deutet darauf hin, dass das System bis zu einem gewissen Grad fehlertolerant ist.","Redundanz deutet darauf hin, dass das System bis zu einem gewissen Grad fehlertolerant ist."
He is lighting a fire under the team and they are finally starting to work together.,"Er macht der Mannschaft Feuer unterm Hintern, und sie beginnt endlich zusammenzuarbeiten.",Er zündet unter dem Team ein Feuer an und sie beginnen endlich zusammen zu arbeiten.,"Er zündet ein Feuer unter dem Team an, und sie beginnen endlich, zusammen zu arbeiten.","Er zündet ein Feuer unter dem Team an und sie beginnen endlich, zusammen zu arbeiten."
Going back to the drawing board is the best way to improve this product.,"Noch einmal von vorn anfangen ist die beste Art, dieses Produkt zu verbessern.","Zurück zum Zeichenbrett ist der beste Weg, um dieses Produkt zu verbessern.","Zurück zum Zeichenbrett zu gehen ist die beste Möglichkeit, dieses Produkt zu verbessern.","Zurück zum Reißbrett zu gehen ist die beste Möglichkeit, dieses Produkt zu verbessern."
How are you going to weather the storm of this corporate takeover?,Wie werden Sie dem Sturm dieser Unternehmensübernahme trotzen?,Wie werden Sie den Sturm dieser Unternehmensübernahme überstehen?,Wie werden Sie den Sturm dieser Unternehmensübernahme überstehen?,Wie werden Sie den Sturm dieser Unternehmensübernahme überstehen?
"Dad said he'd be here to watch my baseball game, but he let me down again.","Papa hat gesagt, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich wieder hängen lassen.","Dad sagte, er wäre hier, um mir mein Baseballspiel anzusehen, aber er hat mich wieder im Stich gelassen.","Papa sagte, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich noch einmal im Stich gelassen.","Papa sagte, er würde hier sein, um mein Baseballspiel zu sehen, aber er hat mich wieder enttäuscht."
He has a reputation as a loose cannon whose comments sometimes upset Wall Street.,"Er gilt als tickende Zeitbombe, dessen Äußerungen die Wall Street manchmal verärgern.","Er hat einen Ruf als lose Kanone, deren Kommentare manchmal die Wall Street verärgern.","Er hat den Ruf, eine lockere Kanone zu sein, deren Kommentare manchmal die Wall Street verärgern.","Er hat einen Ruf als lockere Kanone, deren Kommentare manchmal die Wall Street verärgern."
"I wouldn't say they're like chalk and cheese, but they definitely have their differences.","Ich würde nicht sagen, dass sie wie Tag und Nacht sind, aber sie haben definitiv ihre Unterschiede.","Ich würde nicht sagen, dass sie wie Kreide und Käse sind, aber sie haben definitiv ihre Unterschiede.","Ich würde nicht sagen, dass sie wie Kreide und Käse sind, aber sie haben definitiv ihre Unterschiede.","Ich würde nicht sagen, dass sie wie Kreide und Käse sind, aber sie haben definitiv ihre Unterschiede."
I knew I had my work cut out for me when I saw how messy the playroom was.,"Als ich sah, wie unordentlich das Spielzimmer war, wusste ich, dass ich alle Hände voll zu tun haben werde.","Ich wusste, dass meine Arbeit für mich ausgeschnitten war, als ich sah, wie chaotisch das Spielzimmer war.","Ich wusste, dass meine Arbeit gut für mich war, als ich sah, wie unordentlich das Spielzimmer war.","Ich wusste, dass meine Arbeit gut für mich war, als ich sah, wie unordentlich das Spielzimmer war."
A lingua franca is used to bridge the gap between people who do not speak the same language.,"Eine Lingua franca dient dazu, die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.","Eine Lingua franca wird verwendet, um die Kluft zwischen Menschen, die nicht die gleiche Sprache sprechen, zu überbrücken.","Eine Lingua franca wird verwendet, um die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen.","Eine Lingua franca wird benutzt, um die Kluft zwischen Menschen zu überbrücken, die nicht dieselbe Sprache sprechen."
He pours out his heart to his therapist every week.,Er schüttet seinem Therapeuten jede Woche sein Herz aus.,Er schüttet sein Herz jede Woche an seinen Therapeuten aus.,Er gibt seinem Therapeuten jede Woche sein Herz aus.,Er gibt seinem Therapeuten jede Woche sein Herz aus.
"""Regardless of their cause, inequalities are a powerful force for instability everywhere, from wealthy America to rapidly growing China to reform-challenged Europe. """"A rising tide lifts all boats,"""" conservatives like to say.""","""Unabhängig von ihrer Ursache sind Ungleichheiten überall eine starke Kraft für Instabilität, vom wohlhabenden Amerika über das schnell wachsende China bis hin zum reformbedürftigen Europa. """"Die Flut hebt alle Boote"""", sagen die Konservativen gerne.""","Unabhängig von ihrer Ursache sind Ungleichheiten überall eine mächtige Kraft für Instabilität, vom reichen Amerika bis hin zu schnell wachsendem China bis hin zu reformgeprüftem Europa. """"Eine steigende Flut hebt alle Boote"", sagen Konservative.""","""Ungleichbehandlungen sind unabhängig von ihrer Ursache überall eine mächtige Kraft für Instabilität, vom reichen Amerika über das rasant wachsende China bis hin zu reformbedürftigem Europa. """"""Die Flut hebt alle Boote"", sagen die Konservativen.""","Unabhängig von ihrer Ursache sind Ungleichheiten überall eine machtvolle Kraft für Instabilität, vom reichen Amerika über das schnell wachsende China bis hin zu reformangefochtenem Europa. """"""Eine steigende Flut hebt alle Boote,"" sagen Konservative gerne."""
All it took was a dozen words to make me decide that I would not move for all the tea in China.,"Es brauchte nur ein Dutzend Worte, um mich zu entscheiden, dass ich um nichts in der Welt umziehen würde.","Alles, was es dauerte, war ein Dutzend Worte, um mich zu entscheiden, dass ich mich nicht für den ganzen Tee in China bewegen würde.","Alles, was nötig war, war ein Dutzend Worte, um mich zu der Entscheidung zu bringen, dass ich mich nicht für den ganzen Tee in China bewegen würde.","Es brauchten nur ein Dutzend Worte, um mich zu entscheiden, dass ich mich nicht für den ganzen Tee in China bewegen würde."
Get stoned tonight and relax.,Bekiff dich heute Abend und entspann dich.,Lassen Sie sich heute Abend steinigen und entspannen Sie sich.,Lassen Sie sich heute Abend steinigen und entspannen Sie sich.,Lassen Sie sich heute Abend ausruhen.
"I put the cart before the horse, but I fixed it before it caused any problems.","Ich habe das Pferd beim Schwanz aufgezäumt, aber ich habe das Problem behoben, bevor es zu Problemen führte.","Ich habe den Wagen vor das Pferd gestellt, aber ich habe ihn repariert, bevor es Probleme verursacht hat.","Ich habe den Wagen vor das Pferd gelegt, aber ich habe ihn repariert, bevor er irgendwelche Probleme verursacht hat.","Ich habe den Wagen vor das Pferd gelegt, aber ich habe ihn repariert, bevor er irgendwelche Probleme verursachte."
